Title,Page,Level
"Preface to the Sixteenth Edition",i,1
"Acknowledgments",v,1
"Chapter 1. INTRODUCTION",1,1
"1. ROLE OF THE CRIMINAL JUSTICE SYSTEM IN CANADIAN SOCIETY",1,2
"(a) The Proper Scope of Criminal Law",1,3
"Canadian Committee on Corrections, Towards Unity: Criminal Justice and Corrections (Ouimet Report)",3,4
"Law Reform Commission of Canada, Report: Our Criminal Law",4,4
"R. v. Malmo-Levine",5,4
"R. v. Labaye; R. v. Kouri",10,4
"(b) Critiques of the Criminal Justice System",16,3
"Adult Criminal Court Statistics, 2017/2018",16,4
"Indigenous Overrepresentation in the Criminal Justice System 2019",17,4
"Menkel-Meadow, Portia in a Different Voice",18,4
"Wilson, Will Women Judges Really Make a Difference?",23,4
"Law Reform Commission of Canada, Aboriginal Peoples and Criminal Justice (1991)",27,4
"Napoleon and Friedland, Indigenous Legal Traditions: Roots to Renaissance",29,4
"Final Report of Truth and Reconciliation Commission in Canada (2015)",31,4
"R. v. R.D.S.",32,4
"Victims’ Rights",38,4
"(c) Sentencing",41,3
"(i) Sentencing Principles",41,4
"Doob and Webster, Sentence Severity and Crime: Accepting the Null Hypothesis",41,5
"R. v. Priest",45,5
"R. v. Gladue",50,5
"Truth and Reconciliation Commission of Canada, Honouring the Truth, Reconciling for the Future",53,5
"Quigley, R. v. Friesen: Sentencing Guidance from the Supreme Court",56,5
"(ii) Sentencing and the Charter",62,4
"(iii) Tools of Sentencing",67,4
"Discharges",67,5
"Fines",69,5
"Probation",69,5
"Restitution",72,5
"Community Service",73,5
"Intermittent Sentence",74,5
"Recognizance to Keep the Peace",74,5
"Imprisonment",74,5
"Conditional Sentences",75,5
"R. v. Proulx",75,5
"2. SOURCES",78,2
"(a) Common Law (Judge-made Law)",78,3
"(i) Offence definition",78,4
"R. v. Sedley",78,5
"Frey v. Fedoruk",79,5
"The Criminal Code",81,5
"(ii) Doctrine of precedent",83,4
"R. v. Henry",83,5
"(b) Statute",87,3
"(i) General principles of statutory interpretation",87,4
"Application under S. 83.28 of the Criminal Code, Re",87,5
"R. v. Clark",88,5
"(ii) Bilingual interpretation",93,4
"(iii) Strict construction",94,4
"R. v. Goulis",94,5
"R. v. Paré",95,5
"R. v. Mac",98,5
"(iv) Limits on the value of codification",99,4
"(c) Division of Powers under the Constitution Act 1867",102,3
"The Constitution Act, 1867",102,4
"Reference re Firearms Act (Canada)",103,4
"(d) Charter of Rights and Freedoms",112,3
"(i) Purposive approach",114,4
"Hunter v. Southam Inc.",114,5
"(ii) Section 7 and principles of fundamental justice",115,4
"Canadian Foundation for Children, Youth and the Law v. Canada (Attorney General)",116,5
"Bedford v. Canada (Attorney General)",123,5
"R. v. Safarzadeh-Markhali",132,5
"(iii) Oakes test for section 1",135,4
"R. v. Oakes",135,5
"R. v. J. (K.R.)",137,5
"Bedford v. Canada (Attorney General)",140,5
"3. PROCEDURAL OVERVIEW",142,2
"(a) Classification of Offences and Mode of Trial",142,3
"(i) Offences triable only on indictment",143,4
"(ii) Summary conviction offences",144,4
"(iii) Crown election offences (dual, hybrid)",145,4
"(b) Presumption of Innocence",147,3
"(i) Common law",147,4
"Woolmington v. D.P.P.",147,5
"Allen, Legal Duties and Other Essays in Jurisprudence",154,5
"(ii) Reasonable doubt",154,4
"R. v. Lifchus",154,5
"R. v. Starr",157,5
"R. v. S. (J.H.)",158,5
"R. v. Mullins-Johnson",162,5
"(iii) Section 11(d) of the Charter",164,4
"R. v. Oakes",165,5
"R. v. Downey",170,5
"Coughlan, Doubt Mountain and the Presumption of Innocence",171,5
"4. ROLES AND RESPONSIBILITIES OF JUDGES AND LAWYERS",175,2
"(a) The Adversary System",175,3
"Coughlan, The “Adversary System”: Rhetoric or Reality?",178,4
"(b) Ethical Obligations of Crown and Defence Counsel",181,3
"Federation of Law Societies of Canada, Model Code of Professional Conduct (2022)",181,4
"Cory, The Inquiry Regarding Thomas Sophonow",183,4
"Luban, The Adversary System Excuse",185,4
"Hazard, Ethics in the Practice of Law",187,4
"Greenspan and Jonas, The Case for the Defence",187,4
"Chapter 2. THE ACT REQUIREMENT (ACTUS REUS)",195,1
"1. INTRODUCTION",195,2
"Howard, Criminal Law",195,3
"Stephen, A History of the Criminal Law of England",196,3
"2. COMMISSION OF AN UNLAWFUL ACT",197,2
"(a) Causing Disturbance in Public Place",198,3
"R. v. Lohnes",198,4
"(b) Vicarious Liability",204,3
"(c) Possession Offences",206,3
"R. v. Pham",207,4
"R. v. Morelli",213,4
"R. v. Chalk",216,4
"(d) Consent Making Act Lawful",217,3
"R. v. Jobidon",218,4
"R. v. Moquin",229,4
"R. v. Mabior",233,4
