Title,Page,Level
"Introduction to Criminal Law: Proper Scope (September 18)",1,1
"Stuart/Coughlan/Dufraimont, pages 1-16",1,2
"Topic: Role of the Criminal Justice System in Canadian Society",1,2
"(a) The Proper Scope of Criminal Law",3,3
"Canadian Committee on Corrections, Towards Unity: Criminal Justice and Corrections (Ouimet Report)",3,4
"Law Reform Commission of Canada, Report: Our Criminal Law",4,4
"R. v. Malmo-Levine",5,4
"R. v. Labaye; R. v. Kouri",10,4
"Introduction to Criminal Law: Thinking Critically (September 20)",16,1
"Stuart/Coughlan/Dufraimont, pages 16-41",16,2
"Topic: Role of the Criminal Justice System in Canadian Society (continued)",16,2
"(b) Critiques of the Criminal Justice System",17,3
"Adult Criminal Court Statistics, 2017/2018",17,4
"Indigenous Overrepresentation in the Criminal Justice System 2019",17,4
"Menkel-Meadow, Portia in a Different Voice",18,4
"Wilson, Will Women Judges Really Make a Difference?",23,4
"Law Reform Commission of Canada, Aboriginal Peoples and Criminal Justice (1991)",27,4
"Napoleon and Friedland, Indigenous Legal Traditions: Roots to Renaissance",29,4
"Final Report of Truth and Reconciliation Commission in Canada (2015)",31,4
"R. v. R.D.S.",32,4
"Victims’ Rights",38,4
"The Role of Case Law and Statutes in Criminal Law (September 25)",78,1
"Stuart/Coughlan/Dufraimont, pages 78-93; 94-98",78,2
"Topic: Sources of Criminal Law",78,2
"(a) Common Law (Judge-made Law)",78,3
"(i) Offence Definition",78,4
"R. v. Sedley",78,5
"Frey v. Fedoruk",79,5
"(ii) Doctrine of Precedent",83,4
"R. v. Henry",83,5
"(b) Statute",87,3
"(i) General Principles of Statutory Interpretation",87,4
"Application under S. 83.28 of the Criminal Code, Re",87,5
"R. v. Clark",88,5
"Constitutional Jurisdiction Over Criminal Law Matters (September 27)",102,1
"Stuart/Coughlan/Dufraimont, pages 102-112",102,2
"Topic: Sources of Criminal Law",102,2
"(c) Division of Powers under the Constitution Act 1867",102,3
"The Constitution Act, 1867",102,4
"Reference re Firearms Act (Canada)",103,4
"The Charter and Constraints on Criminal Law Powers (October 2)",112,1
"Stuart/Coughlan/Dufraimont, pages 112-134",112,2
"Topic: Sources of Criminal Law",112,2
"(d) Charter of Rights and Freedoms",114,3
"(i) Purposive Approach",114,4
"Hunter v. Southam Inc.",114,5
"(ii) Section 7 and Principles of Fundamental Justice",115,4
"Canadian Foundation for Children, Youth and the Law v. Canada (Attorney General)",116,5
"Bedford v. Canada (Attorney General)",123,5
